ref,count_1_aerobic_t30_7_Rif,count_1_aerobic_t60_1_control,count_1_aerobic_t180_6_Nor,count_1_aerobic_t30_1_control,count_1_aerobic_t180_5_Gent,count_1_aerobic_t0_1_control,count_1_aerobic_t180_1_control,freq_aerobic_t30_7_Rif,freq_aerobic_t60_1_control,freq_aerobic_t180_6_Nor,freq_aerobic_t30_1_control,freq_aerobic_t180_5_Gent,freq_aerobic_t0_1_control,freq_aerobic_t180_1_control
139,127,107,76,131,112,116,152,69.70943789,63.85212088,41.72007477,82.61174184,62.77052274,62.81257378,68.36056962
140,116,96,110,137,95,135,142,63.67161256,57.28788415,60.38431874,86.39548574,53.24285411,73.10084017,63.86316373
141,173,265,170,214,191,197,307,94.95852563,158.1384302,93.32121987,134.9535325,107.0461593,106.6730779,138.070361
142,105,147,119,118,117,137,170,57.63378723,87.7220726,65.32485391,74.41363005,65.57277822,74.18381558,76.45590024
143,143,114,93,138,124,150,170,78.49172928,68.02936243,51.05219675,87.02610972,69.49593589,81.22315575,76.45590024
144,242,244,236,150,189,182,281,132.8321572,145.6067055,129.5518111,94.59359753,105.9252571,98.55076231,126.3771057
145,153,144,126,193,107,152,202,83.98066139,85.93182622,69.16749238,121.7104288,59.96826726,82.30613116,90.8475991
146,143,172,131,146,117,171,228,78.49172928,102.6407924,71.91223414,92.07110159,65.57277822,92.59439755,102.5408544
147,289,252,230,201,230,251,341,158.6301382,150.3806959,126.258121,126.7554207,128.9037521,135.913414,153.3615411
148,347,287,367,230,312,331,457,190.4659445,171.2669037,201.4640453,145.0435162,174.8607419,179.2324303,205.5314495
149,7,13,3,6,8,10,10,3.842252482,7.757734312,1.646845057,3.783743901,4.483608767,5.41487705,4.497405896
150,2,4,3,9,6,2,2,1.097786423,2.386995173,1.646845057,5.675615852,3.362706575,1.08297541,0.899481179
151,4,3,9,14,5,12,14,2.195572847,1.79024638,4.94053517,8.828735769,2.802255479,6.49785246,6.296368255
152,26,51,30,41,39,35,36,14.2712235,30.43418845,16.46845057,25.85558332,21.85759274,18.95206967,16.19066123
153,106,124,111,101,110,126,180,58.18268044,73.99685036,60.93326709,63.69302233,61.64962055,68.22745083,80.95330613
154,172,160,141,144,151,143,205,94.40963242,95.47980692,77.40171766,90.80985363,84.62811548,77.43274181,92.19682087
155,83,96,97,116,88,88,108,45.55813657,57.28788415,53.24799016,73.15238209,49.31969644,47.65091804,48.57198368
156,48,37,41,63,53,49,50,26.34687416,22.07970535,22.50688244,39.72931096,29.70390808,26.53289754,22.48702948
157,61,93,67,61,56,81,65,33.48248592,55.49763777,36.7795396,38.46806299,31.38526137,43.8605041,29.23313833
158,21,31,36,42,30,45,27,11.52675745,18.49921259,19.76214068,26.48620731,16.81353288,24.36694672,12.14299592
159,135,112,190,83,118,123,164,74.10058358,66.83586484,104.3001869,52.34179063,66.13322931,66.60298771,73.7574567
160,114,97,85,130,118,125,138,62.57382614,57.88463294,46.66060994,81.98111786,66.13322931,67.68596312,62.06420137
161,15,23,9,16,9,15,18,8.233398176,13.72522224,4.94053517,10.08998374,5.044059863,8.122315575,8.095330613
162,48,36,41,31,54,48,61,26.34687416,21.48295656,22.50688244,19.54934349,30.26435918,25.99140984,27.43417597
163,23,43,11,46,32,30,42,12.62454387,25.66019811,6.038431874,29.00870324,17.93443507,16.24463115,18.88910476
164,11,26,23,18,16,34,28,6.037825329,15.51546862,12.6258121,11.3512317,8.967217534,18.41058197,12.59273651
165,65,65,66,68,57,85,84,35.67805876,38.78867156,36.23059124,42.88243088,31.94571247,46.02645492,37.77820953
166,95,110,98,134,85,92,125,52.14485511,65.64236725,53.79693852,84.50361379,47.63834315,49.81686886,56.2175737
167,46,45,71,25,53,32,55,25.24908774,26.8536957,38.97533301,15.76559959,29.70390808,17.32760656,24.73573243
168,14,13,10,6,12,19,15,7.684504964,7.757734312,5.489483522,3.783743901,6.725413151,10.28826639,6.746108844
169,20,36,11,47,23,35,33,10.97786423,21.48295656,6.038431874,29.63932723,12.89037521,18.95206967,14.84143946
170,66,59,36,39,64,58,52,36.22695197,35.2081788,19.76214068,24.59433536,35.86887014,31.40628689,23.38651066
171,158,163,133,155,177,174,348,86.72512745,97.2700533,73.01013084,97.74671744,99.19984397,94.21886067,156.5097252
172,127,163,120,96,158,145,248,69.70943789,97.2700533,65.87380226,60.53990242,88.55127315,78.51571722,111.5356662
173,103,87,84,97,105,76,142,56.53600081,51.91714501,46.11166158,61.1705264,58.84736507,41.15306558,63.86316373
174,62,58,46,85,69,40,56,34.03137913,34.61143001,25.2516242,53.6030386,38.67112562,21.6595082,25.18547302
175,2,2,0,0,4,1,0,1.097786423,1.193497586,0,0,2.241804384,0.541487705,0
176,3,2,3,0,0,5,0,1.646679635,1.193497586,1.646845057,0,0,2.707438525,0
177,190,227,160,160,173,231,295,104.2897102,135.4619761,87.83173635,100.8998374,96.95803959,125.0836599,132.6734739
178,288,274,274,268,280,266,421,158.081245,163.5091693,150.4118485,169.0072276,156.9263068,144.0357295,189.3407882
179,291,311,412,230,274,212,368,159.7279246,185.5888747,226.1667211,145.0435162,153.5636003,114.7953935,165.504537
180,482,535,378,298,435,410,630,264.5665281,319.2606044,207.5024771,187.9259471,243.7962267,222.009959,283.3365715
181,244,115,235,207,152,217,228,133.9299437,68.62611122,129.0028628,130.5391646,85.18856657,117.502832,102.5408544
182,295,167,207,169,273,221,267,161.9234975,99.65704847,113.6323089,106.5754532,153.0031492,119.6687828,120.0807374
183,325,331,355,236,320,329,352,178.3902938,197.5238506,194.876665,148.8272601,179.3443507,178.1494549,158.3086875
184,282,201,439,247,246,273,278,154.7878857,119.9465074,240.9883266,155.7641239,137.8709696,147.8261435,125.0278839
185,22,0,11,0,10,51,0,12.07565066,0,6.038431874,0,5.604510959,27.61587295,0
186,199,167,231,140,181,222,269,109.2297491,99.65704847,126.8070694,88.28735769,101.4416484,120.2102705,120.9802186
187,99,102,61,100,100,77,156,54.34042796,60.86837691,33.48584948,63.06239835,56.04510959,41.69455328,70.15953198
188,236,143,186,172,198,234,214,129.538798,85.33507743,102.1043935,108.4673252,110.969317,126.708123,96.24448618
189,77,110,64,33,68,99,149,42.2647773,65.64236725,35.13269454,20.81059146,38.11067452,53.60728279,67.01134785
190,146,122,98,73,108,125,132,80.13840891,72.80335277,53.79693852,46.0355508,60.52871835,67.68596312,59.36575783
191,66,84,83,107,90,94,101,36.22695197,50.12689863,45.56271323,67.47676624,50.44059863,50.89984427,45.42379955
192,18,37,44,51,35,43,33,9.880077811,22.07970535,24.1537275,32.16182316,19.61578836,23.28397131,14.84143946
193,255,278,293,296,263,271,483,139.967769,165.8961645,160.8418672,186.6646991,147.3986382,146.7431681,217.2247048
194,129,98,103,151,135,167,149,70.80722431,58.48138174,56.54168028,95.22422151,75.66089794,90.42844673,67.01134785
195,135,156,183,161,171,196,300,74.10058358,93.09281174,100.4575485,101.5304613,95.8371374,106.1315902,134.9221769
196,186,197,133,249,223,244,187,102.0941374,117.5595123,73.01013084,157.0253719,124.9805944,132.123,84.10149026
197,99,129,106,58,118,83,159,54.34042796,76.98059433,58.18852533,36.57619104,66.13322931,44.94347951,71.50875375
198,105,111,108,69,98,91,141,57.63378723,66.23911605,59.28642204,43.51305486,54.9242074,49.27538115,63.41342314
199,19,39,21,56,43,43,50,10.42897102,23.27320294,11.5279154,35.31494308,24.09939712,23.28397131,22.48702948
200,93,81,95,75,83,88,107,51.04706869,48.33665225,52.15009346,47.29679876,46.51744096,47.65091804,48.12224309
201,34,37,26,56,42,47,46,18.6623692,22.07970535,14.27265716,35.31494308,23.53894603,25.44992213,20.68806712
202,22,14,11,39,16,19,26,12.07565066,8.354483105,6.038431874,24.59433536,8.967217534,10.28826639,11.69325533
203,54,33,53,105,31,39,59,29.64023343,19.69271018,29.09426267,66.21551827,17.37398397,21.11802049,26.53469479
204,53,95,26,62,72,55,63,29.09134022,56.69113536,14.27265716,39.09868698,40.3524789,29.78182377,28.33365715
205,139,133,215,104,165,166,211,76.29615643,79.3675895,118.0238957,65.58489429,92.47443082,89.88695903,94.89526441
206,283,295,431,217,271,321,429,155.3367789,176.040894,236.5967398,136.8454044,151.882247,173.8175533,192.938713
207,118,67,76,77,94,96,106,64.76939898,39.98216915,41.72007477,48.55804673,52.68240301,51.98281968,47.6725025
208,115,99,124,168,169,108,175,63.12271935,59.07813053,68.06959567,105.9448292,94.7162352,58.48067214,78.70460318
209,1,0,0,1,0,0,0,0.548893212,0,0,0.630623984,0,0,0
210,43,66,34,28,44,20,52,23.6024081,39.38542035,18.66424397,17.65747154,24.65984822,10.8297541,23.38651066
211,48,5,14,9,36,79,5,26.34687416,2.983743966,7.685276931,5.675615852,20.17623945,42.77752869,2.248702948
212,99,69,48,49,63,77,99,54.34042796,41.17566673,26.34952091,30.90057519,35.30841904,41.69455328,44.52431837
213,44,50,45,54,39,49,92,24.15130132,29.83743966,24.70267585,34.05369511,21.85759274,26.53289754,41.37613425
214,89,32,58,43,38,26,41,48.85149584,19.09596138,31.83900443,27.11683129,21.29714164,14.07868033,18.43936417
215,65,49,62,75,71,49,81,35.67805876,29.24069087,34.03479784,47.29679876,39.79202781,26.53289754,36.42898776
216,38,65,34,53,52,67,72,20.85794205,38.78867156,18.66424397,33.42307113,29.14345699,36.27967623,32.38132245
217,121,135,187,165,149,177,197,66.41607862,80.56108709,102.6533419,104.0529573,83.50721329,95.84332378,88.59889616
218,251,247,187,245,189,203,385,137.7721961,147.3969519,102.6533419,154.502876,105.9252571,109.9220041,173.150127
219,25,32,26,61,33,16,26,13.72233029,19.09596138,14.27265716,38.46806299,18.49488616,8.66380328,11.69325533
220,88,74,67,113,82,101,145,48.30260263,44.1594107,36.7795396,71.26051014,45.95698986,54.6902582,65.2123855
221,13,15,19,16,15,18,16,7.135611752,8.951231898,10.43001869,10.08998374,8.406766438,9.74677869,7.195849434
222,47,49,25,92,61,48,89,25.79798095,29.24069087,13.7237088,58.01740648,34.18751685,25.99140984,40.02691248
223,31,21,32,27,33,31,29,17.01568956,12.53172466,17.56634727,17.02684755,18.49488616,16.78611885,13.0424771
