Gene_name,Distance1,Distance2,delta distance,logFC,logFC2
ybeY,97,56,-41,-0.374146603515862,2.25846709973323
ybeY,56,16,-40,2.25846709973323,-0.0309305349983926
ybhI,119,127,8,-0.0650837749801831,2.40104037232316
ycaQ,1224,1225,1,4.78106173584191,2.41054136058059
ssuE,16,15,-1,-0.117180830930824,3.46452636835392
uup,1642,1645,3,2.29640506532526,0.28128128076152
ycbZ,45,38,-7,-3.97719546720406,-0.243034956117691
etp,7,6,-1,1.86059042509473,-0.353960311209709
murJ,25,28,3,0.490677481497266,5.00804424412324
ymfK,98,72,-26,5.95141909387327,3.88063977563706
ymfK,72,36,-36,3.88063977563706,1.30244071484056
bluR,61,50,-11,-0.264412768686111,3.24914111879215
ycgH_1,25,26,1,1.67091043535779,-0.593936268932236
ycgL,71,76,5,-0.141088330055767,-3.06598440428852
ychS,119,120,1,0.0127417267607721,-2.08994169055869
ymjA,39,16,-23,-0.288810389921023,4.21889466462338
ymjA,16,7,-9,4.21889466462338,-1.22222267771363
puuA,103,91,-12,-0.0900430634543523,2.43170307241652
puuA,91,66,-25,2.43170307241652,0.356356667677662
racR,109,97,-12,-0.0764183060416991,-5.35963816918452
racR,97,42,-55,-5.35963816918452,0.515401593456331
ddpA,51,46,-5,3.79061445655622,-0.0216103598652008
ydeP,25,21,-4,-0.0138788466122368,-2.29712146399806
ydfP,225,175,-50,0.0468130318369268,-2.08596179313593
ydfP,175,174,-1,-2.08596179313593,0.0749253930393167
rspB,60,59,-1,-0.119459152662961,6.21418102090232
rspB,59,26,-33,6.21418102090232,-0.373775180372023
mdtJ,168,51,-117,0.101928278519197,2.60089216781583
sufB,45,39,-6,-0.408032602307275,2.44465977082748
astC,74,65,-9,0.093149585414193,3.79118290809322
astC,65,59,-6,3.79118290809322,-0.552789731241668
yeaQ,65,39,-26,0.166843777549468,5.72888920872308
tsaB,48,24,-24,2.99829301716572,-0.0701852470708339
tsaB,24,0,-24,-0.0701852470708339,2.97232824854945
yebQ,19,26,7,-0.0558270493145574,4.82403295143534
cutC,83,63,-20,-2.22717414843429,0.0794839277392206
yedP,84,91,7,5.97656659585953,-0.0323654947908185
asnW,41,3,-38,8.92344946529359,1.96863213820775
yoeA,35,40,5,0.294705843260645,2.55307679342889
fbaB,55,43,-12,0.695571995343241,3.87636463172119
fbaB,43,36,-7,3.87636463172119,-0.0285140759018756
yfdN,63,50,-13,-0.253461447597158,1.80488334674538
zipA,109,85,-24,4.29690805424317,7.6097185514408
zipA,85,81,-4,7.6097185514408,4.07113358519525
eutQ,93,81,-12,-0.115713919442253,3.06211545068188
maeB,64,53,-11,0.216669313226181,2.41059862755758
maeB,53,47,-6,2.41059862755758,0.0874150401948238
hyfG,65,66,1,-0.266937370446781,2.31119809080318
focB,70,73,3,-0.164988682347482,5.4491069459869
der,48,32,-16,6.00042496771013,2.0582019251359
iscU,108,57,-51,-0.232194634792962,1.88905208977568
iscS,30,11,-19,0.0712680914538095,2.59929328635211
iscR,96,80,-16,3.56407980284667,1.11099371169438
iscR,74,36,-38,1.33711873772535,4.31626880764578
yphF,112,96,-16,3.31776034396642,-0.210358316363746
ratA,60,55,-5,0.337523804298025,5.05949799399266
ratA,55,44,-11,5.05949799399266,0.694791969246297
yfjH,54,33,-21,0.575304175664368,3.77421950219178
yfjH,33,25,-8,3.77421950219178,0.0
ypjB,194,71,-123,0.158048299737546,-3.59120610742763
,141,43,-98,4.79902798426857,0.405126227614058
ygaQ_2,85,86,1,0.227093065724015,2.25603615975342
ygaQ_3,109,110,1,-2.23023840829544,1.02968206998801
ygaQ_3,110,111,1,1.02968206998801,-2.23024115071715
ygaQ_3,111,114,3,-2.23024115071715,0.183974769982915
yqaB,62,49,-13,-0.22289459646941,3.65836103346103
yqaB,49,0,-49,3.65836103346103,0.10423284554277
ygbK,1151,1160,9,1.66501855953675,4.73055785334332
ygdI,48,30,-18,0.0445840633197284,3.10295859852358
